iter	Passed	Remaining
0	87	87874
1	154	77119
2	237	78857
3	253	63034
4	348	69420
5	392	64941
6	478	67939
7	547	67898
8	577	63549
9	650	64414
10	694	62441
11	762	62780
12	809	61438
13	887	62523
14	964	63345
15	1060	65196
16	1137	65752
17	1227	66951
18	1291	66702
19	1294	63441
20	1376	64152
21	1468	65262
22	1543	65554
23	1561	63510
24	1631	63638
25	1703	63798
26	1748	63003
27	1852	64318
28	1935	64791
29	2017	65218
30	2068	64643
31	2146	64920
32	2225	65200
33	2295	65224
34	2378	65572
35	2411	64575
36	2499	65054
37	2582	65373
38	2634	64928
39	2648	63557
40	2739	64081
41	2834	64651
42	2860	63665
43	2972	64574
44	3034	64404
45	3105	64405
46	3181	64501
47	3261	64680
48	3342	64869
49	3401	64637
50	3520	65501
51	3618	65959
52	3689	65917
53	3766	65992
54	3843	66040
55	3919	66076
56	3999	66162
57	4071	66121
58	4153	66249
59	4237	66381
60	4313	66402
61	4398	66550
62	4485	66710
63	4575	66921
64	4661	67048
65	4741	67104
66	4815	67053
67	4894	67089
68	4972	67088
69	5045	67035
70	5108	66841
71	5193	66940
72	5275	66994
73	5351	66968
74	5426	66922
75	5502	66899
76	5590	67008
77	5670	67027
78	5752	67065
79	5832	67069
80	5919	67165
81	6000	67181
82	6078	67157
83	6152	67092
84	6198	66722
85	6285	66805
86	6364	66786
87	6458	66936
88	6544	66990
89	6616	66900
90	6706	66992
91	6777	66894
92	6866	66963
93	6938	66880
94	7014	66817
95	7088	66753
96	7190	66935
97	7279	66999
98	7353	66925
99	7439	66958
100	7515	66892
101	7600	66910
102	7676	66854
103	7760	66857
104	7844	66866
105	7921	66807
106	8033	67046
107	8113	67008
108	8188	66936
109	8276	66967
110	8353	66901
111	8430	66845
112	8509	66792
113	8599	66834
114	8676	66773
115	8743	66634
116	8833	66669
117	8901	66535
118	8973	66435
119	9047	66350
120	9138	66385
121	9233	66451
122	9312	66398
123	9390	66337
124	9480	66360
125	9569	66377
126	9609	66054
127	9690	66014
128	9780	66034
129	9860	65989
130	9934	65898
131	10014	65852
132	10101	65852
133	10190	65858
134	10270	65809
