iter	RMSE
0	191410.208
1	186326.6076
2	181417.8252
3	176735.4701
4	172160.446
5	167811.1763
6	163415.0023
7	159216.5633
8	155153.3268
9	151260.478
10	147637.4455
11	143964.05
12	140290.5422
13	136801.8565
14	133480.9364
15	130102.2447
16	126901.4969
17	123793.8619
18	120593.6315
19	117722.9062
20	114870.1486
21	112198.7948
22	109510.5448
23	106888.7275
24	104346.6935
25	101813.2559
26	99372.70912
27	97072.47658
28	94805.4139
29	92615.17816
30	90451.78029
31	88466.10045
32	86522.36525
33	84541.77369
34	82597.98876
35	80881.41376
36	79137.90557
37	77461.66931
38	75837.60693
39	74195.86903
40	72783.46699
41	71263.82161
42	69769.69419
43	68404.28026
44	67112.88786
45	65722.74938
46	64457.24379
47	63144.27098
48	61899.85225
49	60778.88644
50	59656.58376
51	58489.20875
52	57422.22529
53	56403.67121
54	55365.03637
55	54379.67175
56	53421.92994
57	52446.09342
58	51473.12851
59	50581.20095
60	49738.85892
61	48892.00573
62	48099.50326
63	47316.04562
64	46621.92697
65	45908.57408
66	45190.08015
67	44543.03257
68	43919.61028
69	43301.1807
70	42721.31905
71	42180.39838
72	41622.09179
73	41059.322
74	40564.78196
75	40005.51352
76	39512.83055
77	39002.99403
78	38509.52175
79	38036.67075
80	37603.45757
81	37227.90796
82	36766.29135
83	36382.77699
84	35914.08515
85	35532.5075
86	35125.91589
87	34760.99038
88	34400.59256
89	34031.34658
90	33701.2204
91	33372.24369
92	33086.69699
93	32781.17968
94	32488.12535
95	32193.51423
96	31912.00914
97	31665.00986
98	31379.82816
99	31096.76878
100	30846.16947
101	30632.4516
102	30379.48772
103	30218.85561
104	29975.96046
105	29784.79559
106	29548.2694
107	29328.30576
108	29139.62049
109	28932.03375
110	28737.40341
111	28525.02911
112	28344.3185
113	28170.39575
114	27998.31374
115	27834.25273
116	27662.00838
117	27520.88873
118	27361.89332
119	27230.79925
120	27100.68759
121	26946.34193
122	26794.10211
123	26661.74138
124	26525.37713
125	26399.55674
126	26244.6328
127	26130.39394
128	26041.16849
129	25923.63302
130	25806.42914
131	25655.03493
132	25553.19451
133	25436.13711
134	25341.00794
135	25230.98296
136	25124.51931
137	24984.48718
138	24869.7363
139	24758.85771
140	24657.70515
141	24570.44751
142	24475.46894
143	24391.55888
144	24297.06777
145	24202.56312
146	24124.53795
147	24055.49232
148	23979.11396
149	23916.60801
150	23837.60959
151	23763.75897
152	23677.78315
153	23549.5864
154	23478.93865
155	23397.83986
156	23330.15005
157	23260.10696
158	23191.8045
159	23141.05012
160	23094.58438
161	23025.40803
162	22930.68237
163	22859.68529
164	22804.99664
165	22738.64466
166	22636.10202
167	22589.09718
168	22527.44017
169	22453.89512
170	22389.63168
171	22328.08376
172	22298.92456
173	22237.33244
174	22171.41951
175	22114.15351
176	22068.53085
177	22016.0056
178	21963.64991
179	21916.31218
180	21883.12325
181	21836.80564
182	21773.54698
183	21726.94476
184	21687.78852
185	21665.51549
186	21620.57238
187	21571.55246
188	21528.60307
189	21484.57235
190	21452.75261
191	21408.20275
192	21364.35154
193	21304.78224
194	21248.52374
195	21202.54005
196	21133.03812
197	21092.05152
198	21040.01358
199	20998.93474
200	20972.24588
201	20921.97902
202	20872.23629
203	20813.03582
204	20770.54811
205	20739.96329
206	20701.01073
207	20666.56469
208	20622.84213
209	20580.26496
210	20533.5824
211	20484.04259
212	20466.10663
213	20409.58243
214	20370.66273
215	20299.42445
216	20257.88128
217	20212.35483
218	20184.2622
219	20171.42952
220	20134.76307
221	20062.41885
222	20031.77227
223	20024.94288
224	19972.50158
225	19934.55815
226	19907.86473
227	19871.73253
228	19851.20246
229	19809.89823
230	19758.48224
231	19712.80184
232	19709.18199
233	19679.76803
234	19671.37599
235	19652.54373
236	19606.92858
237	19564.38528
238	19550.79475
239	19547.58135
240	19544.44846
241	19526.31654
242	19505.66262
243	19455.45731
244	19401.84011
245	19358.24486
246	19332.36018
247	19329.49983
248	19303.37936
249	19262.62158
250	19238.47698
251	19182.86055
252	19165.09447
253	19132.43195
254	19129.93993
255	19100.95022
256	19069.48762
257	19066.85538
258	19032.42952
259	19013.38751
260	18986.0829
261	18979.19042
262	18950.29329
263	18934.66813
264	18930.31186
265	18889.82408
266	18854.01972
267	18841.81312
268	18823.81043
269	18817.47557
270	18771.59292
271	18743.52134
272	18716.06967
273	18681.27801
274	18637.33015
275	18618.19599
276	18583.81452
277	18573.53261
278	18561.57761
279	18513.59646
280	18497.2563
281	18467.01443
282	18448.66588
283	18416.56734
284	18380.37579
285	18349.16843
286	18327.40581
287	18323.24151
288	18300.27129
289	18294.54945
290	18292.97524
