iter	RMSE
0	75758.80738
1	72777.62816
2	70014.6713
3	67490.42921
4	64854.65339
5	62664.67831
6	60530.45485
7	58565.96469
8	56413.00614
9	54708.09131
10	53115.59513
11	51455.36318
12	49598.84555
13	48060.80766
14	46583.90416
15	45067.23646
16	43862.96449
17	42505.70742
18	41461.52142
19	40493.29179
20	39424.57356
21	38409.79163
22	37650.08754
23	36934.15091
24	36129.33698
25	35280.98201
26	34617.33489
27	33996.28248
28	33270.29743
29	32620.96807
30	31973.90717
31	31423.91519
32	30909.45053
33	30409.7484
34	29919.89006
35	29442.83203
36	29059.95266
37	28758.63818
38	28317.35562
39	27970.64706
40	27611.67578
41	27126.18897
42	26740.59192
43	26365.19841
44	26066.78115
45	25827.72467
46	25573.03018
47	25442.18535
48	25189.83859
49	24920.37937
