iter	Passed	Remaining
0	53	26461
1	94	23412
2	144	24000
3	189	23512
4	236	23397
5	276	22750
6	316	22271
7	355	21849
8	400	21822
9	449	22049
10	488	21704
11	527	21435
12	567	21264
13	607	21087
14	646	20907
15	685	20732
16	724	20588
17	763	20458
18	803	20345
19	842	20231
20	881	20103
21	919	19983
22	959	19889
23	1000	19846
24	1040	19771
25	1079	19672
26	1117	19584
27	1157	19515
28	1195	19423
29	1235	19348
30	1274	19279
31	1314	19228
32	1353	19159
33	1396	19143
34	1437	19101
35	1477	19046
36	1518	18996
37	1558	18943
38	1598	18894
39	1637	18833
40	1675	18760
41	1714	18696
42	1752	18629
43	1793	18587
44	1832	18524
45	1870	18464
46	1909	18404
47	1948	18352
48	1988	18299
49	2026	18235
50	2063	18167
51	2104	18127
52	2141	18065
53	2183	18035
54	2223	17991
55	2263	17946
56	2302	17891
57	2341	17842
58	2380	17792
59	2420	17746
60	2459	17700
61	2497	17645
62	2537	17600
63	2575	17545
64	2615	17504
65	2644	17392
66	2682	17338
67	2721	17287
68	2760	17244
69	2800	17201
70	2839	17158
71	2877	17105
72	2915	17056
73	2956	17021
74	2995	16974
75	3036	16938
76	3074	16891
77	3121	16885
78	3167	16882
79	3217	16894
80	3266	16896
81	3315	16899
82	3363	16899
83	3407	16875
84	3445	16821
85	3483	16769
86	3530	16759
87	3570	16715
88	3610	16675
89	3652	16637
90	3692	16594
91	3732	16554
92	3775	16521
93	3815	16479
94	3858	16451
95	3897	16401
96	3940	16369
97	3977	16316
98	4019	16280
99	4050	16202
100	4092	16167
101	4132	16124
102	4163	16049
103	4204	16010
104	4244	15968
105	4285	15927
106	4324	15882
107	4363	15838
108	4399	15782
109	4437	15733
110	4475	15683
111	4513	15636
112	4552	15591
113	4591	15545
114	4632	15510
115	4671	15463
116	4700	15386
117	4738	15338
118	4776	15293
119	4815	15249
120	4858	15217
121	4896	15171
122	4935	15128
123	4972	15078
124	5013	15040
125	5051	14993
126	5090	14949
127	5127	14902
128	5171	14872
129	5209	14827
130	5248	14784
131	5288	14742
132	5326	14698
133	5366	14657
134	5406	14616
135	5444	14571
136	5488	14542
137	5527	14498
138	5565	14454
139	5602	14407
140	5642	14366
141	5680	14320
142	5718	14276
143	5758	14236
144	5797	14193
145	5837	14154
146	5876	14111
147	5917	14073
148	5956	14031
149	5994	13987
150	6037	13954
151	6074	13907
152	6112	13862
153	6151	13821
154	6190	13778
155	6229	13737
156	6268	13695
157	6306	13650
158	6344	13606
159	6385	13569
160	6425	13528
161	6464	13487
162	6502	13444
163	6541	13402
164	6580	13360
165	6620	13320
166	6659	13279
167	6699	13239
168	6738	13198
169	6788	13177
170	6832	13145
171	6870	13102
172	6911	13063
173	6949	13020
174	6987	12976
175	7025	12932
176	7062	12888
177	7100	12844
178	7139	12802
179	7178	12761
180	7222	12728
181	7260	12686
182	7301	12648
183	7339	12605
184	7379	12565
185	7417	12522
186	7457	12482
187	7496	12440
188	7535	12399
189	7575	12359
190	7615	12319
191	7654	12279
192	7694	12240
193	7740	12209
194	7781	12170
195	7819	12128
196	7860	12090
197	7899	12048
198	7938	12007
199	7976	11964
200	8012	11918
201	8057	11887
202	8094	11842
203	8132	11800
204	8168	11755
205	8207	11713
206	8244	11670
207	8282	11627
208	8320	11584
209	8356	11540
210	8393	11495
211	8431	11454
212	8470	11412
213	8508	11371
214	8551	11335
215	8590	11294
216	8627	11251
217	8665	11208
218	8705	11169
219	8744	11129
220	8781	11086
221	8819	11043
222	8856	11001
223	8895	10960
224	8934	10920
225	8971	10877
226	9009	10834
227	9049	10795
228	9086	10753
229	9125	10713
230	9163	10671
231	9203	10631
232	9241	10589
233	9278	10547
234	9317	10506
235	9356	10466
236	9394	10425
237	9433	10385
238	9473	10345
239	9513	10306
240	9552	10266
241	9594	10228
242	9634	10189
243	9672	10147
244	9710	10106
245	9749	10066
246	9787	10024
247	9829	9987
248	9866	9945
249	9902	9902
250	9942	9863
251	9980	9822
252	10017	9780
253	10058	9741
254	10104	9707
255	10148	9672
256	10185	9630
257	10222	9588
258	10261	9548
259	10300	9507
260	10338	9467
261	10377	9426
262	10416	9386
263	10457	9348
264	10497	9308
265	10534	9267
266	10572	9225
267	10609	9184
268	10646	9142
269	10684	9101
270	10722	9060
271	10760	9019
272	10800	8980
273	10836	8938
274	10882	8903
275	10930	8870
276	10978	8838
277	11018	8799
278	11055	8757
279	11095	8717
280	11144	8685
281	11192	8652
282	11241	8619
283	11278	8578
284	11316	8537
285	11362	8501
286	11413	8470
287	11461	8436
288	11500	8396
289	11538	8355
290	11578	8316
291	11618	8275
292	11656	8235
293	11695	8194
294	11735	8155
295	11774	8114
296	11814	8075
297	11852	8034
298	11890	7993
299	11931	7954
300	11969	7913
301	12008	7873
302	12047	7832
303	12086	7792
304	12123	7751
305	12169	7715
306	12208	7674
307	12247	7634
308	12285	7594
309	12325	7554
310	12362	7513
311	12401	7472
312	12438	7431
313	12476	7390
314	12514	7349
315	12556	7311
316	12596	7271
317	12643	7236
318	12692	7201
319	12738	7165
320	12786	7130
321	12837	7096
322	12888	7062
323	12937	7027
324	12981	6990
325	13019	6948
326	13060	6909
327	13099	6869
328	13137	6828
329	13175	6787
330	13214	6746
331	13252	6706
332	13265	6652
333	13294	6607
334	13333	6567
335	13373	6527
336	13411	6486
337	13448	6445
338	13489	6406
339	13527	6365
340	13566	6325
341	13603	6284
342	13642	6244
343	13680	6204
344	13721	6164
345	13760	6124
346	13803	6086
347	13842	6046
348	13882	6006
349	13923	5967
350	13963	5927
351	14004	5888
352	14043	5848
353	14082	5808
354	14122	5768
355	14161	5728
356	14200	5688
357	14239	5648
358	14278	5608
359	14319	5568
360	14359	5529
361	14399	5489
362	14436	5448
363	14472	5407
364	14509	5366
365	14546	5325
366	14583	5285
367	14623	5245
368	14661	5204
369	14696	5163
370	14733	5122
371	14771	5082
372	14808	5041
373	14850	5003
374	14889	4963
375	14929	4923
376	14970	4884
377	15010	4844
378	15025	4797
379	15063	4756
380	15102	4717
381	15142	4677
382	15169	4633
383	15206	4593
384	15245	4553
385	15283	4513
386	15319	4473
387	15357	4432
388	15395	4393
389	15432	4352
390	15469	4312
391	15507	4272
392	15548	4233
393	15588	4193
394	15627	4154
395	15666	4114
396	15707	4075
397	15743	4034
398	15805	4000
399	15847	3961
400	15891	3923
401	15932	3884
402	15970	3844
403	16004	3803
404	16042	3763
405	16079	3722
406	16118	3683
407	16148	3641
408	16180	3600
409	16206	3557
410	16250	3518
411	16291	3479
412	16338	3441
413	16371	3400
414	16443	3368
415	16485	3328
416	16537	3291
417	16590	3254
418	16635	3215
419	16665	3174
420	16695	3132
421	16788	3103
422	16820	3061
423	16877	3025
424	16951	2991
425	17030	2958
426	17069	2918
427	17109	2878
428	17186	2844
429	17247	2807
430	17286	2767
431	17326	2727
432	17367	2687
433	17407	2647
434	17449	2607
435	17494	2568
436	17537	2528
437	17583	2489
438	17623	2448
439	17662	2408
440	17703	2368
441	17765	2331
442	17815	2292
443	17860	2252
444	17895	2211
445	17940	2172
446	17978	2131
447	18016	2091
448	18053	2050
449	18091	2010
450	18130	1969
451	18174	1930
452	18211	1889
453	18251	1849
454	18290	1808
455	18329	1768
456	18374	1728
457	18413	1688
458	18452	1648
459	18493	1608
460	18534	1567
461	18572	1527
462	18611	1487
463	18649	1446
464	18689	1406
465	18729	1366
466	18770	1326
467	18812	1286
468	18851	1246
469	18895	1206
470	18933	1165
471	18971	1125
472	19009	1085
473	19047	1044
474	19085	1004
475	19125	964
476	19164	924
477	19202	883
478	19241	843
479	19281	803
480	19322	763
481	19360	722
482	19400	682
483	19441	642
484	19512	603
485	19551	563
486	19587	522
487	19624	482
488	19664	442
489	19702	402
490	19739	361
491	19783	321
492	19819	281
493	19856	241
494	19909	201
495	19957	160
496	20019	120
497	20047	80
498	20082	40
499	20139	0
